date,OT
7/1/16 0:00,38.66199875
7/1/16 0:15,38.22299957
7/1/16 0:30,37.34400177
7/1/16 0:45,37.12400055
7/1/16 1:00,37.12400055
7/1/16 1:15,36.90399933
7/1/16 1:30,36.90399933
7/1/16 1:45,36.46500015
7/1/16 2:00,36.46500015
7/1/16 2:15,36.46500015
7/1/16 2:30,35.80599976
7/1/16 2:45,34.92699814
7/1/16 3:00,33.60850143
7/1/16 3:15,32.94900131
7/1/16 3:30,32.50999832
7/1/16 3:45,32.29000092
7/1/16 4:00,31.85050011
7/1/16 4:15,31.63100052
7/1/16 4:30,31.4109993
7/1/16 4:45,30.97200012
7/1/16 5:00,30.53199959
7/1/16 5:15,30.53199959
7/1/16 5:30,30.75200081
7/1/16 5:45,30.3125
7/1/16 6:00,30.09300041
7/1/16 6:15,29.87299919
7/1/16 6:30,29.87299919
7/1/16 6:45,29.87299919
7/1/16 7:00,29.87299919
7/1/16 7:15,29.87299919
7/1/16 7:30,29.87299919
7/1/16 7:45,29.87299919
7/1/16 8:00,29.65299988
7/1/16 8:15,29.43350029
7/1/16 8:30,29.43350029
7/1/16 8:45,29.43350029
7/1/16 9:00,29.21349907
7/1/16 9:15,28.1154995
7/1/16 9:30,27.67550087
7/1/16 9:45,27.67550087
7/1/16 10:00,27.45599937
7/1/16 10:15,27.45599937
7/1/16 10:30,27.45599937
7/1/16 10:45,27.45599937
7/1/16 11:00,27.45599937
7/1/16 11:15,27.45599937
7/1/16 11:30,27.23649979
7/1/16 11:45,27.23649979
7/1/16 12:00,27.23649979
7/1/16 12:15,27.23649979
7/1/16 12:30,26.79700089
7/1/16 12:45,26.57699966
7/1/16 13:00,26.57699966
7/1/16 13:15,26.79700089
7/1/16 13:30,26.79700089
7/1/16 13:45,26.79700089
7/1/16 14:00,26.79700089
7/1/16 14:15,26.79700089
7/1/16 14:30,26.79700089
7/1/16 14:45,26.79700089
7/1/16 15:00,26.79700089
7/1/16 15:15,26.79700089
7/1/16 15:30,26.79700089
7/1/16 15:45,26.79700089
7/1/16 16:00,26.79700089
7/1/16 16:15,26.57749939
7/1/16 16:30,26.57749939
7/1/16 16:45,26.57749939
7/1/16 17:00,26.57749939
7/1/16 17:15,26.57749939
7/1/16 17:30,26.57749939
7/1/16 17:45,26.57749939
7/1/16 18:00,26.57749939
7/1/16 18:15,26.57749939
7/1/16 18:30,26.35750008
7/1/16 18:45,26.13750076
7/1/16 19:00,26.13750076
7/1/16 19:15,26.13750076
7/1/16 19:30,26.13750076
7/1/16 19:45,26.13750076
7/1/16 20:00,26.13750076
7/1/16 20:15,26.13750076
7/1/16 20:30,26.13750076
7/1/16 20:45,26.13750076
7/1/16 21:00,25.69849968
7/1/16 21:15,25.69849968
7/1/16 21:30,25.69849968
7/1/16 21:45,25.91799927
7/1/16 22:00,25.91799927
7/1/16 22:15,25.91799927
7/1/16 22:30,25.91799927
7/1/16 22:45,25.91799927
7/1/16 23:00,25.91799927
7/1/16 23:15,25.91799927
7/1/16 23:30,25.91799927
7/1/16 23:45,25.91799927
7/2/16 0:00,25.91799927
7/2/16 0:15,25.91799927
7/2/16 0:30,25.91799927
7/2/16 0:45,26.13800049
7/2/16 1:00,26.35750008
7/2/16 1:15,26.35750008
7/2/16 1:30,26.35750008
7/2/16 1:45,26.13750076
7/2/16 2:00,26.13750076
7/2/16 2:15,25.91799927
7/2/16 2:30,25.69849968
7/2/16 2:45,25.69849968
7/2/16 3:00,25.69849968
7/2/16 3:15,25.69849968
7/2/16 3:30,25.69849968
7/2/16 3:45,25.69849968
7/2/16 4:00,25.69849968
7/2/16 4:15,25.91799927
7/2/16 4:30,25.91799927
7/2/16 4:45,25.91799927
7/2/16 5:00,25.91799927
7/2/16 5:15,25.91799927
7/2/16 5:30,25.91799927
7/2/16 5:45,25.91799927
7/2/16 6:00,25.91799927
7/2/16 6:15,25.91799927
7/2/16 6:30,25.91799927
7/2/16 6:45,25.91799927
7/2/16 7:00,25.91799927
7/2/16 7:15,25.47850037
7/2/16 7:30,25.47850037
7/2/16 7:45,25.47850037
7/2/16 8:00,25.47850037
7/2/16 8:15,25.47850037
7/2/16 8:30,25.47850037
7/2/16 8:45,25.69799995
7/2/16 9:00,25.69799995
7/2/16 9:15,25.69799995
7/2/16 9:30,25.69799995
7/2/16 9:45,25.91799927
7/2/16 10:00,25.91799927
7/2/16 10:15,25.91799927
7/2/16 10:30,25.91799927
7/2/16 10:45,25.91799927
7/2/16 11:00,25.91799927
7/2/16 11:15,25.91799927
7/2/16 11:30,26.13800049
7/2/16 11:45,26.35750008
7/2/16 12:00,26.13750076
7/2/16 12:15,26.13750076
7/2/16 12:30,26.35750008
7/2/16 12:45,26.35750008
7/2/16 13:00,26.35750008
7/2/16 13:15,26.35750008
7/2/16 13:30,26.35750008
7/2/16 13:45,26.35750008
7/2/16 14:00,26.57749939
7/2/16 14:15,26.79700089
7/2/16 14:30,26.79700089
7/2/16 14:45,27.23649979
7/2/16 15:00,27.45599937
7/2/16 15:15,27.45599937
7/2/16 15:30,27.45599937
7/2/16 15:45,27.6760006
7/2/16 16:00,27.6760006
7/2/16 16:15,27.6760006
7/2/16 16:30,27.89550018
7/2/16 16:45,28.1154995
7/2/16 17:00,28.1154995
7/2/16 17:15,28.33499908
7/2/16 17:30,28.33499908
7/2/16 17:45,28.55450058
7/2/16 18:00,28.55450058
7/2/16 18:15,28.77449989
7/2/16 18:30,28.77449989
7/2/16 18:45,28.77449989
7/2/16 19:00,28.77449989
7/2/16 19:15,28.99399948
7/2/16 19:30,29.21349907
